model_name,N_predict,model_used,initial_evaluation_success_rate,predictive_evaluation_success_rate,brier_score,accuracy,fpr,fnr,tpr,tnr
model_progression/progressionmodel_2M_2000000,200,Measurement_Layout_AAIO_NO_NAVIGATION,0.685,0.725,0.2252723305073237,0.7,0.26,0.04,0.685,0.015
model_progression/progressionmodel_2M_2000000,200,Measurement_Layout_AAIO,0.685,0.725,0.12415664631748399,0.835,0.13,0.035,0.69,0.145
model_progression/progressionmodel_2M_2000000,200,Measurement_Layout_AAIO_NO_NAVIGATION,0.685,0.725,0.22025487992472148,0.685,0.225,0.09,0.635,0.05
model_progression/progressionmodel_2M_2000000,200,Measurement_Layout_AAIO_NO_NAVIGATION,0.685,0.725,0.22057506770088178,0.675,0.225,0.1,0.625,0.05
model_progression/progressionmodel_2M_2000000,200,Measurement_Layout_AAIO,0.685,0.725,0.20486723509680663,0.69,0.245,0.065,0.66,0.03
model_progression/progressionmodel_2M_2000000,200,Measurement_Layout_AAIO,0.685,0.725,0.21410220092394552,0.6799999999999999,0.225,0.095,0.63,0.05
model_progression/progressionmodel_2M_2000000,200,XGBoost,0.685,0.725,0.10458129915943937,0.865,0.085,0.05,0.675,0.19
model_progression/progressionmodel_2M_2000000,200,Measurement_Layout_AAIO_NO_NAVIGATION,0.685,0.725,0.22102660968449653,0.675,0.225,0.1,0.625,0.05
model_progression/progressionmodel_2M_2000000,200,Measurement_Layout_AAIO_NO_NAVIGATION,0.685,0.725,0.21868216360897952,0.675,0.235,0.09,0.635,0.04
model_progression/progressionmodel_2M_2000000,200,Measurement_Layout_AAIO_NO_NAVIGATION,0.685,0.725,0.22017244008872794,0.685,0.225,0.09,0.635,0.05
model_progression/progressionmodel_2M_2000000,200,Measurement_Layout_AAIO_NO_NAVIGATION,0.685,0.725,0.22135662679193238,0.665,0.225,0.11,0.615,0.05
model_progression/progressionmodel_2M_2000000,200,Measurement_Layout_AAIO,0.685,0.725,0.20853905022110578,0.6799999999999999,0.235,0.085,0.64,0.04
model_progression/progressionmodel_2M_2000000,200,Measurement_Layout_AAIO,0.69,0.725,0.20139137785646472,0.725,0.275,0.0,0.725,0.0
model_progression/progressionmodel_2M_2000000,200,Measurement_Layout_AAIO,0.69,0.725,0.2016559665696963,0.725,0.275,0.0,0.725,0.0
model_progression/progressionmodel_2M_2000000,200,Measurement_Layout_AAIO,0.69,0.725,0.23100460334563466,0.65,0.24,0.11,0.615,0.035
model_progression/progressionmodel_2M_2000000,200,Measurement_Layout_AAIO,0.69,0.725,0.2292932392690087,0.6599999999999999,0.24,0.1,0.625,0.035
model_progression/progressionmodel_2M_2000000,200,Measurement_Layout_AAIO,0.29,0.725,0.46258624453713104,0.31999999999999995,0.07,0.61,0.115,0.205
best_model_9_precise,200,Measurement_Layout_AAIO,0.29,0.325,0.2907004459037187,0.56,0.15,0.29,0.035,0.525
best_model_9_precise,200,XGBoost,0.29,0.325,0.05915638325996054,0.92,0.025,0.055,0.13,0.79
best_model_9_precise,200,proportional,0.29,0.325,0.22059999999999988,0.57369,0.19622,0.23009000000000002,0.09491,0.47878000000000004
best_model_9_precise,200,Measurement_Layout_AAIO,0.29,0.325,0.2987587800669691,0.5549999999999999,0.165,0.28,0.045,0.51
best_model_5_precise,200,Measurement_Layout_AAIO,0.51,0.475,0.19017236769751222,0.7150000000000001,0.255,0.03,0.445,0.27
best_model_5_precise,200,XGBoost,0.51,0.475,0.10968269129265577,0.86,0.08,0.06,0.235,0.625
best_model_5_precise,200,proportional,0.51,0.475,0.2505999999999999,0.49840999999999996,0.26832,0.23327,0.24173000000000003,0.25668
model_progression/progressionmodel_2M_2000000,200,Measurement_Layout_AAIO_NO_NAVIGATION,0.685,0.725,0.19327088239480522,0.725,0.275,0.0,0.725,0.0
model_progression/progressionmodel_2M_2000000,200,Measurement_Layout_AAIO_NO_NAVIGATION,0.685,0.725,0.4867393681886631,0.275,0.0,0.725,0.0,0.275
model_progression/progressionmodel_2M_2000000,200,Measurement_Layout_AAIO_NO_NAVIGATION,0.685,0.725,0.22426093883194237,0.725,0.275,0.0,0.725,0.0
model_progression/progressionmodel_2M_2000000,200,Measurement_Layout_AAIO_NO_NAVIGATION,0.685,0.725,0.22315818902221654,0.725,0.275,0.0,0.725,0.0
model_progression/progressionmodel_2M_2000000,200,Measurement_Layout_AAIO_NO_NAVIGATION,0.685,0.725,0.22489633815578455,0.725,0.275,0.0,0.725,0.0
model_progression/progressionmodel_2M_2000000,200,Measurement_Layout_AAIO_NO_NAVIGATION,0.685,0.725,0.2255498256771782,0.725,0.275,0.0,0.725,0.0
model_progression/progressionmodel_2M_2000000,200,Measurement_Layout_AAIO_NO_NAVIGATION,0.685,0.725,0.22498294595406487,0.725,0.275,0.0,0.725,0.0
model_progression/progressionmodel_2M_2000000,200,Measurement_Layout_AAIO,0.69,0.725,0.12460951267987984,0.84,0.14,0.02,0.705,0.135
model_progression/progressionmodel_2M_2000000,200,Measurement_Layout_AAIO_NO_NAVIGATION,0.69,0.725,0.22749512718212164,0.725,0.275,0.0,0.725,0.0
model_progression/progressionmodel_2M_2000000,200,Measurement_Layout_AAIO_NO_NAVIGATION,0.69,0.725,0.22785302369259428,0.725,0.275,0.0,0.725,0.0
model_progression/progressionmodel_2M_2000000,200,Measurement_Layout_AAIO,0.69,0.725,0.19560257499482978,0.725,0.275,0.0,0.725,0.0
model_progression/progressionmodel_2M_2000000,200,Measurement_Layout_AAIO,0.69,0.725,0.12234315502147088,0.84,0.135,0.025,0.7,0.14
best_model,200,Measurement_Layout_AAIO,0.27,0.46,0.25609292138643236,0.63,0.05,0.32,0.14,0.49
best_model,200,XGBoost,0.27,0.46,0.08673921097534276,0.905,0.005,0.09,0.15,0.755
best_model,200,proportional,0.27,0.46,0.28449999999999903,0.5179300000000001,0.14643,0.33564,0.12435999999999998,0.39357000000000003
best_model,200,Measurement_Layout_AAIO,0.27,0.46,0.25107504845138484,0.65,0.055,0.295,0.165,0.485
best_model_2,200,Measurement_Layout_AAIO,0.84,0.88,0.08960183489056803,0.88,0.085,0.035,0.845,0.035
best_model_2,200,XGBoost,0.84,0.88,0.06347660931979522,0.91,0.045,0.045,0.38,0.53
best_model_2,200,proportional,0.84,0.88,0.1072000000000003,0.75788,0.1009,0.14122,0.73878,0.019100000000000002
best_model_3,200,Measurement_Layout_AAIO,0.79,0.81,0.09958367757674368,0.855,0.085,0.06,0.75,0.105
best_model_3,200,XGBoost,0.79,0.81,0.05015411861065287,0.925,0.04,0.035,0.365,0.56
best_model_3,200,proportional,0.79,0.81,0.15430000000000005,0.677905,0.149795,0.1723,0.6377,0.040205000000000005

best_model_4,200,Measurement_Layout_AAIO,0.645,0.765,0.14028960911421867,0.8,0.155,0.045,0.72,0.08
best_model_4,200,XGBoost,0.645,0.765,0.10219530892093388,0.875,0.075,0.05,0.315,0.56
best_model_4,200,proportional,0.645,0.765,0.19417499999999938,0.5751600000000001,0.151725,0.273115,0.491885,0.083275
best_model_7_precise,200,Measurement_Layout_AAIO,0.205,0.185,0.12522636963806608,0.825,0.035,0.14,0.045,0.78
best_model_7_precise,200,XGBoost,0.205,0.185,0.049918936664149975,0.93,0.03,0.04,0.075,0.855
best_model_7_precise,200,proportional,0.205,0.185,0.1511749999999995,0.6868099999999999,0.16595,0.14724,0.03776,0.64905
best_model_7_precise,200,Measurement_Layout_AAIO_NO_NAVIGATION,0.205,0.185,0.1311029061194963,0.8200000000000001,0.01,0.17,0.015,0.805
model_progression/progressionmodel_2M_2000000,200,Measurement_Layout_AAIO_NO_NAVIGATION,0.69,0.725,0.1938744976500883,0.725,0.275,0.0,0.725,0.0
model_progression/progressionmodel_2M_2000000,200,Measurement_Layout_AAIO_NO_NAVIGATION,0.685,0.725,0.19245543280291022,0.725,0.275,0.0,0.725,0.0
model_progression/progressionmodel_2M_2000000,200,Measurement_Layout_AAIO_NO_NAVIGATION,0.685,0.725,0.19392411126043144,0.725,0.275,0.0,0.725,0.0
model_progression/progressionmodel_2M_2000000,200,Measurement_Layout_AAIO,0.69,0.725,0.12315823362289594,0.84,0.14,0.02,0.705,0.135
model_progression/progressionmodel_2M_2000000,200,proportional,0.69,0.725,0.20059999999999992,0.58569,0.19008999999999998,0.22422000000000003,0.50078,0.08491
model_progression/progressionmodel_2M_2000000,200,Measurement_Layout_AAIO,0.72,0.725,0.1261333769351023,0.825,0.155,0.02,0.705,0.12
model_progression/progressionmodel_2M_2000000,200,Measurement_Layout_AAIO_NO_NAVIGATION,0.72,0.725,0.20114317371381446,0.725,0.275,0.0,0.725,0.0
/model_progression/progressionmodel_2M_40000,200,Measurement_Layout_AAIO,0.345,0.315,0.16445992120011313,0.825,0.07,0.105,0.21,0.615
/model_progression/progressionmodel_2M_40000,200,XGBoost,0.345,0.315,0.3414177450088357,0.515,0.27,0.215,0.095,0.42
/model_progression/progressionmodel_2M_40000,200,proportional,0.345,0.315,0.21667500000000048,0.55745,0.23648000000000002,0.20607000000000003,0.10893000000000001,0.44852
/model_progression/progressionmodel_2M_80000,200,Measurement_Layout_AAIO,0.345,0.505,0.20903685954204437,0.6950000000000001,0.04,0.265,0.24,0.455
/model_progression/progressionmodel_2M_80000,200,XGBoost,0.345,0.505,0.4567875766100951,0.36,0.255,0.385,0.11,0.25
/model_progression/progressionmodel_2M_80000,200,proportional,0.345,0.505,0.2755750000000007,0.49863,0.17089,0.33048,0.17451999999999998,0.32411
/model_progression/progressionmodel_2M_120000,200,Measurement_Layout_AAIO,0.345,0.495,0.2177999131062322,0.665,0.06,0.275,0.22,0.445
/model_progression/progressionmodel_2M_120000,200,XGBoost,0.345,0.495,0.4584544331291545,0.355,0.26,0.385,0.105,0.25
/model_progression/progressionmodel_2M_120000,200,proportional,0.345,0.495,0.2724750000000007,0.50056,0.17492500000000002,0.324515,0.17048500000000003,0.33007500000000006
/model_progression/progressionmodel_2M_160000,200,Measurement_Layout_AAIO,0.345,0.52,0.24515541649352243,0.62,0.07,0.31,0.21,0.41
/model_progression/progressionmodel_2M_160000,200,XGBoost,0.345,0.52,0.45660556556251325,0.35,0.255,0.395,0.11,0.24
/model_progression/progressionmodel_2M_160000,200,proportional,0.345,0.52,0.28022500000000067,0.49438,0.165515,0.340105,0.179895,0.314485
/model_progression/progressionmodel_2M_200000,200,Measurement_Layout_AAIO,0.345,0.53,0.2321386434777921,0.62,0.065,0.315,0.215,0.405
/model_progression/progressionmodel_2M_200000,200,XGBoost,0.345,0.53,0.46501178468728543,0.355,0.25,0.395,0.115,0.24
/model_progression/progressionmodel_2M_200000,200,proportional,0.345,0.53,0.28332500000000077,0.48963999999999996,0.162885,0.34747500000000003,0.182525,0.307115
/model_progression/progressionmodel_2M_240000,200,Measurement_Layout_AAIO,0.345,0.635,0.24758912758297605,0.615,0.015,0.37,0.265,0.35
